id;name;urk_mark;inter_mark;code_soei
01;ПРОСТІР І ЧАС;;;
0101;*Метр;м;m;0006
0102;*Кілометр;км;km;0008
0103;*Дециметр;дм;dm;0005
0104;*Сантиметр;см;cm;0004
0105;*Міліметр;мм;mm;0003
0106;Мікрометр;мкм;m;0002
0107;Нанометр;нм;nm;—
0108;Пікометр;пм;pm;—
0109;Фемтометр;фм;fm;—
0110;Ангстрем (= 1·10-10 м);;;—
0111;Парсек (= 3,0857 • 1016 м);пк;pc;—
0112;Світловий рік (= 9,46 • 1015 м);св.рік;l.y.;—
0113;Астрономічна одиниця (= 1,496·1011 м);а.о.;AU;—
0114;*Миля статутна (= 1609,344 м);миля (міжн.);st mi;1803
0115;*Морська миля міжн. (= 1852 м);м. миля;n.mile;1804
0116;*Дюйм (= 10 великим лініям = 12 малим лініям = 25,40 мм);дюйм;in;0041
0117;*Ярд (= 3 футам = 36 дюймам = 0,9144 м);ярд;yd;0045
0118;Тисяча кілометрів;тис.км;t.km;0009
0119;Мільйон кілометрів;млн.км;m.km;0010
0120;Калібр (= 0,254 мм);клб;cl;—
0121;Лінія велика (= 2,54 мм);лін.в;l gr;—
0122;Лінія мала (= 2,117 мм);лін.м;l;—
0123;*Квадратний метр;м2;m2;0055
0124;*Квадратний кілометр;км2;km2;0061
0125;*Квадратний дециметр;дм2;dm2;0053
0126;*Квадратний сантиметр;см2;cm2;0051
0127;*Квадратний міліметр;мм2;mm2;0050
0128;*Квадратний дюйм (= 6,4516 см2);дюйм2;in2;0102
0129;*Квадратний фут (= 144 кв. дюймам = 0,092903 м2);фт2;ft2;0104
0130;*Квадратний ярд (= 9 кв. футам = 0,8361274 м2);ярд2;yd2;0106
0131;*Ар (сотка) (= 100 м2);а;a;0057
0132;*Гектар (= 100 ар);га;ha;0059
0133;*Акр (= 4840 кв. ярдів = 4046,856 м2);акр;ac;1805
0134;*Кубічний метр;м3;m3;0113
0135;*Кубічний дециметр;дм3;dm3;0112
0136;*Кубічний сантиметр;см3;cm3;0111
